FIPS,Adult Obesity (2018),Geography,Adult Obesity (2014),Adult Obesity (2015),Adult Obesity (2016),Adult Obesity (2017),Column 1,Column 1.1,Column 1.2,Column 1.3
01001,36.40,"Autauga County, AL",30.50,31.30,30.90,34.10,"54571",,,
01003,29.30,"Baldwin County, AL",26.60,25.00,26.70,27.40,"182265",,,
01005,44.20,"Barbour County, AL",37.30,38.40,40.80,44.40,"27457",,,
01007,38.40,"Bibb County, AL",34.30,37.30,40.10,40.30,"22915",,,
01009,35.80,"Blount County, AL",30.40,30.90,32.40,34.60,"57322",,,
01011,40.20,"Bullock County, AL",42.10,43.20,44.50,43.00,"10914",,,
01013,36.00,"Butler County, AL",38.30,38.40,36.00,36.30,"20947",,,
01015,36.10,"Calhoun County, AL",33.20,31.50,32.00,32.20,"118572",,,
01017,38.00,"Chambers County, AL",35.40,39.70,39.80,39.70,"34215",,,
01019,35.50,"Cherokee County, AL",31.40,30.30,32.70,33.60,"25989",,,
01021,36.00,"Chilton County, AL",38.30,37.00,37.10,35.90,"43643",,,
01023,39.50,"Choctaw County, AL",38.90,40.20,38.70,40.80,"13859",,,
01025,38.40,"Clarke County, AL",36.00,35.20,36.10,38.20,"25833",,,
01027,38.10,"Clay County, AL",35.30,37.40,37.70,37.30,"13932",,,
01029,34.60,"Cleburne County, AL",31.30,30.40,30.00,30.00,"14972",,,
01031,34.20,"Coffee County, AL",29.90,28.50,30.20,33.70,"49948",,,
01033,34.60,"Colbert County, AL",32.20,33.90,36.60,37.50,"54428",,,
01035,38.20,"Conecuh County, AL",36.30,39.10,37.20,36.40,"13228",,,
01037,40.10,"Coosa County, AL",34.30,37.20,38.80,39.70,"11539",,,
01039,33.80,"Covington County, AL",33.80,32.30,31.60,34.00,"37765",,,
01041,39.60,"Crenshaw County, AL",35.70,37.10,36.60,39.70,"13906",,,
01043,34.60,"Cullman County, AL",32.40,34.40,34.70,33.40,"80406",,,
01045,36.50,"Dale County, AL",35.30,34.40,36.20,36.50,"50251",,,
01047,42.40,"Dallas County, AL",41.40,41.70,42.40,40.80,"43820",,,
01049,30.50,"DeKalb County, AL",32.40,32.10,30.60,30.40,"71109",,,
01051,36.50,"Elmore County, AL",30.60,30.10,30.30,35.40,"79303",,,
01053,38.60,"Escambia County, AL",36.90,38.30,39.40,37.70,"38319",,,
01055,36.80,"Etowah County, AL",31.80,33.80,34.70,35.10,"104430",,,
01057,35.60,"Fayette County, AL",36.40,36.30,32.40,33.70,"17241",,,
01059,33.20,"Franklin County, AL",34.30,33.50,34.20,33.20,"31704",,,
01061,36.60,"Geneva County, AL",34.00,34.50,34.70,34.10,"26790",,,
01063,42.30,"Greene County, AL",47.90,48.10,45.90,46.30,"9045",,,
01065,41.40,"Hale County, AL",41.60,36.20,35.90,40.40,"15760",,,
01067,37.80,"Henry County, AL",34.60,34.10,35.20,35.80,"17302",,,
01069,33.30,"Houston County, AL",34.90,32.90,33.60,32.80,"101547",,,
01071,36.90,"Jackson County, AL",30.00,29.00,30.60,32.00,"53227",,,
01073,33.20,"Jefferson County, AL",32.20,32.90,33.70,33.20,"658466",,,
01075,33.80,"Lamar County, AL",31.30,32.80,32.50,33.60,"14564",,,
01077,34.80,"Lauderdale County, AL",32.20,31.20,31.60,32.90,"92709",,,
01079,33.60,"Lawrence County, AL",37.70,38.60,36.30,35.50,"34339",,,
01081,29.80,"Lee County, AL",32.00,30.00,29.50,29.00,"140247",,,
01083,33.60,"Limestone County, AL",33.80,33.40,33.50,32.90,"82782",,,
01085,46.20,"Lowndes County, AL",43.80,43.70,46.40,45.10,"11299",,,
01087,47.80,"Macon County, AL",39.20,41.70,42.40,44.70,"21452",,,
01089,32.80,"Madison County, AL",30.00,30.60,31.20,32.30,"334811",,,
01091,39.40,"Marengo County, AL",41.60,42.30,41.30,40.30,"21027",,,
01093,34.90,"Marion County, AL",33.00,34.10,34.90,35.50,"30776",,,
01095,33.70,"Marshall County, AL",31.50,33.90,35.00,33.20,"93019",,,
01097,35.80,"Mobile County, AL",33.90,35.90,36.10,37.10,"412992",,,
01099,39.20,"Monroe County, AL",35.90,36.30,37.20,35.30,"23068",,,
01101,36.80,"Montgomery County, AL",35.30,34.60,33.60,34.80,"229363",,,
01103,31.50,"Morgan County, AL",28.50,30.20,32.20,31.60,"119490",,,
01105,44.10,"Perry County, AL",38.90,38.70,37.80,43.00,"10591",,,
01107,35.40,"Pickens County, AL",38.50,40.10,37.40,36.40,"19746",,,
01109,41.70,"Pike County, AL",36.00,35.30,34.10,38.40,"32899",,,
01111,33.90,"Randolph County, AL",34.20,34.10,33.20,30.90,"22913",,,
01113,40.70,"Russell County, AL",36.50,34.20,34.80,36.40,"52947",,,
01115,36.30,"St. Clair County, AL",32.90,31.70,33.10,33.00,"195085",,,
01117,29.20,"Shelby County, AL",29.60,31.50,31.30,30.10,"83593",,,
01119,40.30,"Sumter County, AL",40.10,40.40,39.60,40.30,"13763",,,
01121,40.60,"Talladega County, AL",38.40,38.00,37.60,39.00,"82291",,,
01123,36.70,"Tallapoosa County, AL",35.10,35.60,36.50,36.90,"41616",,,
01125,33.40,"Tuscaloosa County, AL",33.20,32.90,32.70,34.30,"194656",,,
01127,36.20,"Walker County, AL",36.00,33.40,32.90,33.20,"67023",,,
01129,40.30,"Washington County, AL",35.90,36.10,36.00,40.20,"17581",,,
01131,42.60,"Wilcox County, AL",41.60,42.80,44.40,44.90,"11670",,,
01133,34.70,"Winston County, AL",35.70,33.40,28.70,30.20,"24484",,,
02013,34.90,"Aleutians East Borough, AK",32.30,32.30,31.10,33.40,"710231",,,
02016,40.70,"Aleutians West Census Area, AK",30.00,32.90,36.20,39.40,"13798",,,
02020,27.80,"Anchorage Municipality, AK",25.70,26.80,27.00,27.00,"3141",,,
02050,29.40,"Bethel Census Area, AK",31.50,32.40,31.60,30.30,"5561",,,
02060,39.10,"Bristol Bay Borough, AK",31.10,33.10,34.10,39.70,"291826",,,
02068,26.40,"Denali Borough, AK",24.70,23.60,24.70,27.00,"17013",,,
02070,40.50,"Dillingham Census Area, AK",31.80,31.60,35.30,38.00,"997",,,
02090,28.90,"Fairbanks North Star Borough, AK",29.10,28.50,28.60,28.10,"1826",,,
02100,24.80,"Haines Borough, AK",29.60,28.40,26.50,25.50,"4847",,,
02105,32.10,"Hoonah-Angoon Census Area, AK",0.00,0.00,0.00,0.00,"97581",,,
02110,28.80,"Juneau City and Borough, AK",26.00,26.90,27.00,28.60,"2508",,,
02122,28.60,"Kenai Peninsula Borough, AK",27.50,27.50,28.00,28.40,"95",,,
02130,34.50,"Ketchikan Gateway Borough, AK",29.20,28.00,29.30,30.80,"31275",,,
02150,29.60,"Kodiak Island Borough, AK",30.10,31.50,29.30,30.20,"55400",,,
02158,27.50,"Kusilvak Census Area, AK",0.00,0.00,0.00,0.00,"13477",,,
02164,31.80,"Lake and Peninsula Borough, AK",31.50,32.60,32.40,31.90,"13592",,,
02170,31.10,"Matanuska-Susitna Borough, AK",29.80,29.80,28.90,30.20,"1631",,,
02180,33.50,"Nome Census Area, AK",35.60,34.10,33.30,31.70,"88995",,,
02185,36.90,"North Slope Borough, AK",35.60,34.20,35.30,36.50,"9492",,,
02188,35.70,"Northwest Arctic Borough, AK",29.70,29.70,32.50,32.40,"9430",,,
02195,31.20,"Petersburg Borough, AK",0.00,0.00,0.00,0.00,"7523",,,
02198,34.40,"Prince of Wales-Hyder Census Area, AK",0.00,0.00,0.00,0.00,"8881",,,
02220,28.40,"Sitka City and Borough, AK",28.20,28.80,27.00,28.70,"968",,,
02230,28.70,"Skagway Municipality, AK",0.00,0.00,0.00,0.00,"7029",,,
02240,32.60,"Southeast Fairbanks Census Area, AK",31.70,32.50,33.00,33.10,"9636",,,
02261,30.90,"Valdez-Cordova Census Area, AK",28.30,29.70,30.40,30.40,"7459",,,
02275,33.40,"Wrangell City and Borough, AK",0.00,0.00,0.00,0.00,"662",,,
02282,31.20,"Yakutat City and Borough, AK",31.60,31.10,32.10,31.30,"5588",,,
02290,30.30,"Yukon-Koyukuk Census Area, AK",29.00,26.30,26.50,28.30,"6392017",,,
04001,33.70,"Apache County, AZ",31.80,31.90,32.80,35.20,"71518",,,
04003,26.60,"Cochise County, AZ",24.70,23.60,24.70,26.00,"131346",,,
04005,22.80,"Coconino County, AZ",23.30,24.00,21.50,23.20,"134421",,,
04007,27.50,"Gila County, AZ",26.30,27.10,26.80,27.50,"53597",,,
04009,31.90,"Graham County, AZ",33.90,35.00,31.80,32.50,"37220",,,
04011,29.50,"Greenlee County, AZ",34.20,35.40,33.40,34.70,"8437",,,
04012,28.10,"La Paz County, AZ",31.20,32.00,31.50,32.00,"20489",,,
04013,26.30,"Maricopa County, AZ",22.80,22.60,22.20,25.40,"3817117",,,
04015,30.40,"Mohave County, AZ",27.10,26.60,28.10,29.60,"200186",,,
04017,31.40,"Navajo County, AZ",31.70,31.20,30.90,30.90,"107449",,,
04019,24.90,"Pima County, AZ",24.10,22.10,21.70,24.20,"980263",,,
04021,32.60,"Pinal County, AZ",31.40,30.20,29.90,31.60,"375770",,,
04023,23.70,"Santa Cruz County, AZ",20.10,20.50,21.20,23.00,"47420",,,
04025,23.30,"Yavapai County, AZ",23.40,25.90,24.70,25.30,"211033",,,
04027,31.00,"Yuma County, AZ",31.10,31.20,30.40,30.50,"195751",,,
05001,31.90,"Arkansas County, AR",35.40,35.10,34.00,33.80,"2915918",,,
05003,42.10,"Ashley County, AR",38.00,36.10,39.80,42.10,"19019",,,
05005,34.10,"Baxter County, AR",28.50,29.30,29.00,32.30,"21853",,,
05007,30.80,"Benton County, AR",27.60,27.20,28.40,30.10,"41513",,,
05009,37.80,"Boone County, AR",27.30,26.30,29.20,33.90,"221339",,,
05011,41.70,"Bradley County, AR",34.00,34.70,37.10,39.00,"36903",,,
05013,36.50,"Calhoun County, AR",34.20,35.20,35.00,34.20,"11508",,,
05015,34.00,"Carroll County, AR",28.70,33.50,36.20,35.80,"5368",,,
05017,43.40,"Chicot County, AR",36.80,38.50,39.20,43.10,"27446",,,
05019,34.20,"Clark County, AR",32.60,32.50,31.80,34.30,"11800",,,
05021,35.20,"Clay County, AR",32.00,31.70,32.70,33.70,"22995",,,
05023,33.70,"Cleburne County, AR",28.80,28.00,31.20,31.80,"16083",,,
05025,35.20,"Cleveland County, AR",34.90,35.40,36.70,35.70,"25970",,,
05027,34.20,"Columbia County, AR",33.50,37.00,38.10,36.40,"8689",,,
05029,37.90,"Conway County, AR",35.70,39.70,39.10,39.70,"24552",,,
05031,35.60,"Craighead County, AR",34.10,34.00,36.40,36.40,"21273",,,
05033,33.90,"Crawford County, AR",35.90,37.70,36.10,35.10,"96443",,,
05035,40.40,"Crittenden County, AR",38.10,38.20,38.40,38.80,"61948",,,
05037,39.40,"Cross County, AR",36.50,37.50,37.70,37.90,"50902",,,
05039,38.60,"Dallas County, AR",33.00,32.50,36.20,36.20,"17870",,,
05041,39.00,"Desha County, AR",36.90,36.50,38.80,39.60,"8116",,,
05043,36.80,"Drew County, AR",32.30,31.90,30.80,34.30,"13008",,,
05045,33.10,"Faulkner County, AR",29.40,30.00,28.90,33.20,"18509",,,
05047,32.60,"Franklin County, AR",33.60,35.20,36.80,37.10,"113237",,,
05049,30.90,"Fulton County, AR",31.10,31.90,32.00,32.90,"18125",,,
05051,30.50,"Garland County, AR",28.30,30.90,31.00,32.30,"12245",,,
05053,39.20,"Grant County, AR",36.10,35.80,36.60,38.30,"96024",,,
05055,33.30,"Greene County, AR",37.80,33.90,34.10,31.20,"17853",,,
05057,38.20,"Hempstead County, AR",36.30,39.10,41.20,40.30,"42090",,,
05059,35.30,"Hot Spring County, AR",33.40,32.60,32.50,34.70,"22609",,,
05061,34.90,"Howard County, AR",35.70,36.90,37.30,35.70,"32923",,,
05063,36.40,"Independence County, AR",29.80,30.90,34.00,37.20,"13789",,,
05065,33.70,"Izard County, AR",30.30,33.00,33.00,33.90,"36647",,,
05067,34.40,"Jackson County, AR",37.10,41.10,40.10,37.20,"13696",,,
05069,42.00,"Jefferson County, AR",40.00,38.60,39.00,40.70,"17997",,,
05071,37.60,"Johnson County, AR",34.90,32.40,34.70,36.40,"77435",,,
05073,38.20,"Lafayette County, AR",30.90,32.50,34.00,36.30,"25540",,,
05075,32.40,"Lawrence County, AR",38.00,33.40,33.30,31.80,"7645",,,
05077,39.10,"Lee County, AR",34.60,35.40,35.20,35.70,"17415",,,
05079,36.50,"Lincoln County, AR",32.90,33.80,35.70,37.50,"10424",,,
05081,37.60,"Little River County, AR",32.90,31.20,33.10,32.70,"14134",,,
05083,39.10,"Logan County, AR",33.20,34.70,35.30,37.50,"13171",,,
05085,38.10,"Lonoke County, AR",31.20,33.50,33.90,35.80,"22353",,,
05087,34.70,"Madison County, AR",32.80,33.30,32.90,34.00,"68356",,,
05089,33.10,"Marion County, AR",32.60,30.90,30.80,31.70,"15717",,,
05091,33.70,"Miller County, AR",33.60,32.70,33.50,35.90,"16653",,,
05093,41.50,"Mississippi County, AR",39.10,38.70,37.70,39.80,"43462",,,
05095,35.90,"Monroe County, AR",35.10,35.80,37.10,37.50,"46480",,,
05097,35.70,"Montgomery County, AR",29.60,30.60,33.10,33.80,"8149",,,
05099,35.60,"Nevada County, AR",34.40,32.90,34.30,36.00,"9487",,,
05101,31.80,"Newton County, AR",36.30,36.00,36.70,34.20,"8997",,,
05103,36.30,"Ouachita County, AR",39.80,37.80,37.80,34.80,"8330",,,
05105,36.50,"Perry County, AR",33.80,33.10,36.10,37.50,"26120",,,
05107,43.60,"Phillips County, AR",38.00,40.00,41.50,45.50,"10445",,,
05109,36.50,"Pike County, AR",33.60,35.10,37.30,37.80,"21757",,,
05111,39.90,"Poinsett County, AR",35.70,35.70,40.40,38.40,"11291",,,
05113,33.80,"Polk County, AR",33.10,32.50,32.00,36.70,"24583",,,
05115,32.30,"Pope County, AR",35.20,34.80,32.80,32.10,"20662",,,
05117,37.10,"Prairie County, AR",32.80,34.50,35.30,36.30,"61754",,,
05119,32.30,"Pulaski County, AR",33.10,32.90,31.50,31.70,"8715",,,
05121,35.20,"Randolph County, AR",34.20,35.20,35.30,35.30,"382748",,,
05123,44.50,"St. Francis County, AR",38.60,39.50,40.40,42.50,"17969",,,
05125,32.80,"Saline County, AR",31.50,31.50,31.50,32.50,"107118",,,
05127,33.50,"Scott County, AR",29.40,31.10,31.30,32.50,"11233",,,
05129,36.30,"Searcy County, AR",30.20,31.20,31.80,35.00,"8195",,,
05131,34.80,"Sebastian County, AR",29.80,31.00,35.20,36.90,"125744",,,
05133,36.80,"Sevier County, AR",37.90,38.70,39.80,36.70,"17058",,,
